season,started_month,started_day,weekday_type,started_hour_of_day,formatted_hour,member_casual,total_count,avg_duration,avg_distance
Winter,Dec,Thursday,weekday,12,12 PM,member,1385,10.46,1.09
Summer,Jul,Saturday,weekend,8,8 AM,casual,1384,23.55,1.68
Winter,Dec,Thursday,weekday,9,9 AM,member,1384,11.37,1.23
Spring,May,Thursday,weekday,22,10 PM,member,1382,11.98,1.41
Spring,May,Saturday,weekend,22,10 PM,member,1382,14.97,1.53
Spring,May,Wednesday,weekday,8,8 AM,casual,1381,14.03,1.24
Fall,Oct,Monday,weekday,13,1 PM,casual,1380,22.18,1.38
Winter,Feb,Friday,weekday,13,1 PM,member,1380,10.42,1.12
Fall,Sep,Monday,weekday,22,10 PM,member,1379,11.15,1.45
Fall,Sep,Friday,weekday,9,9 AM,casual,1377,16.14,1.24
Winter,Dec,Sunday,weekend,16,4 PM,member,1376,11.94,1.19
Spring,Mar,Thursday,weekday,9,9 AM,member,1374,9.67,1.2
Spring,May,Friday,weekday,10,10 AM,casual,1374,30.23,1.71
Winter,Feb,Tuesday,weekday,13,1 PM,member,1374,11.13,1.22
Fall,Oct,Sunday,weekend,8,8 AM,casual,1374,27.1,1.5
Fall,Sep,Sunday,weekend,22,10 PM,member,1368,12.05,1.51
Fall,Nov,Tuesday,weekday,6,6 AM,member,1366,10.75,1.37
Spring,Apr,Friday,weekday,20,8 PM,member,1366,10.5,1.19
Spring,Apr,Wednesday,weekday,6,6 AM,member,1366,9.22,1.38
Fall,Sep,Friday,weekday,7,7 AM,casual,1365,10.79,1.21
Fall,Sep,Wednesday,weekday,22,10 PM,casual,1364,15.2,1.37
Fall,Oct,Tuesday,weekday,19,7 PM,casual,1363,14.09,1.25
Spring,Mar,Monday,weekday,9,9 AM,member,1362,9.47,1.14
Winter,Dec,Saturday,weekend,17,5 PM,member,1361,11.43,1.14
Fall,Sep,Sunday,weekend,8,8 AM,casual,1359,28.04,1.59
Winter,Feb,Monday,weekday,13,1 PM,member,1359,11.54,1.12
Spring,Apr,Monday,weekday,14,2 PM,casual,1357,22.27,1.4
Spring,Mar,Friday,weekday,19,7 PM,member,1355,11.36,1.16
Winter,Feb,Tuesday,weekday,19,7 PM,member,1355,11.02,1.13
Spring,Mar,Saturday,weekend,19,7 PM,member,1355,11.37,1.26
Fall,Nov,Thursday,weekday,19,7 PM,member,1354,9.65,1.23
Fall,Sep,Tuesday,weekday,22,10 PM,member,1353,11.39,1.44
Fall,Sep,Saturday,weekend,8,8 AM,casual,1352,16.81,1.48
Winter,Feb,Friday,weekday,12,12 PM,member,1348,11.33,1.04
Fall,Nov,Friday,weekday,17,5 PM,casual,1346,13.24,1.26
Summer,Aug,Sunday,weekend,21,9 PM,casual,1345,20.97,1.42
Summer,Jun,Saturday,weekend,23,11 PM,member,1344,12.76,1.5
Fall,Nov,Sunday,weekend,12,12 PM,casual,1341,23.28,1.41
Summer,Jun,Tuesday,weekday,13,1 PM,casual,1340,25.05,1.51
Winter,Dec,Wednesday,weekday,19,7 PM,member,1339,11.16,1.17
Fall,Nov,Saturday,weekend,11,11 AM,casual,1339,19.58,1.49
Spring,May,Tuesday,weekday,19,7 PM,casual,1338,16.41,1.33
Winter,Dec,Wednesday,weekday,13,1 PM,member,1338,9.94,1.1
Spring,Mar,Saturday,weekend,17,5 PM,casual,1337,22.56,1.3
Summer,Aug,Thursday,weekday,11,11 AM,casual,1336,24.02,1.52
Spring,May,Monday,weekday,6,6 AM,member,1334,9.81,1.42
Winter,Feb,Wednesday,weekday,12,12 PM,member,1334,12.08,1.09
Spring,Apr,Sunday,weekend,9,9 AM,member,1333,11.6,1.39
Winter,Dec,Wednesday,weekday,12,12 PM,member,1332,10.07,1.07
Winter,Jan,Tuesday,weekday,7,7 AM,member,1332,12.22,1.23
Spring,May,Monday,weekday,11,11 AM,casual,1331,28.58,1.69
Spring,Mar,Friday,weekday,11,11 AM,member,1329,11.88,1.12
Fall,Nov,Saturday,weekend,8,8 AM,member,1329,11.32,1.33
Winter,Feb,Monday,weekday,14,2 PM,member,1324,12.32,1.29
Summer,Aug,Wednesday,weekday,11,11 AM,casual,1324,25.42,1.54
Summer,Jun,Tuesday,weekday,21,9 PM,casual,1324,18.67,1.56
Fall,Nov,Wednesday,weekday,6,6 AM,member,1322,10.61,1.4
Winter,Jan,Wednesday,weekday,19,7 PM,member,1321,10.6,1.06
Fall,Sep,Friday,weekday,23,11 PM,member,1321,11.76,1.44
Spring,Apr,Thursday,weekday,17,5 PM,casual,1320,16.89,1.35
Spring,May,Wednesday,weekday,11,11 AM,casual,1319,27.3,1.52
Summer,Aug,Wednesday,weekday,8,8 AM,casual,1319,12.61,1.23
Summer,Jul,Tuesday,weekday,9,9 AM,casual,1315,21.64,1.31
Fall,Sep,Sunday,weekend,1,1 AM,casual,1314,17.23,1.33
Summer,Jul,Monday,weekday,8,8 AM,casual,1313,13.16,1.25
Winter,Dec,Thursday,weekday,19,7 PM,member,1313,10.04,1.2
Fall,Nov,Friday,weekday,15,3 PM,casual,1311,16.95,1.39
Spring,Apr,Saturday,weekend,20,8 PM,member,1309,11.36,1.27
Winter,Feb,Thursday,weekday,10,10 AM,member,1307,13.05,1.23
Fall,Oct,Wednesday,weekday,13,1 PM,casual,1305,17.71,1.24
Summer,Jul,Friday,weekday,23,11 PM,casual,1305,19.37,1.48
Spring,May,Monday,weekday,19,7 PM,casual,1304,18.01,1.36
Fall,Nov,Friday,weekday,20,8 PM,member,1304,9.69,1.21
Winter,Feb,Wednesday,weekday,9,9 AM,member,1303,10.16,1.15
Spring,Mar,Monday,weekday,17,5 PM,casual,1302,18.1,1.38
Fall,Oct,Wednesday,weekday,12,12 PM,casual,1301,20.2,1.36
Winter,Feb,Wednesday,weekday,19,7 PM,member,1300,10.27,1.17
Winter,Dec,Wednesday,weekday,9,9 AM,member,1300,10.8,1.25
Summer,Aug,Tuesday,weekday,12,12 PM,casual,1299,22.79,1.44
Fall,Nov,Thursday,weekday,12,12 PM,member,1299,11.22,1.09
Summer,Jun,Friday,weekday,23,11 PM,casual,1299,21.4,1.44
Winter,Jan,Monday,weekday,7,7 AM,member,1298,12.57,1.24
Winter,Feb,Sunday,weekend,17,5 PM,member,1298,14.77,1.26
Fall,Nov,Thursday,weekday,14,2 PM,member,1297,10.18,1.22
Spring,Apr,Thursday,weekday,20,8 PM,member,1293,10.82,1.23
Summer,Aug,Sunday,weekend,0,12 AM,casual,1292,15.3,1.38
Spring,May,Saturday,weekend,21,9 PM,casual,1288,22.29,1.27
Summer,Jul,Tuesday,weekday,21,9 PM,casual,1286,17.06,1.5
Spring,Mar,Friday,weekday,9,9 AM,member,1286,9.21,1.14
Fall,Oct,Friday,weekday,22,10 PM,member,1283,12.9,1.54
Spring,Mar,Wednesday,weekday,11,11 AM,member,1281,11.25,1.12
Summer,Jul,Friday,weekday,9,9 AM,casual,1279,23.79,1.58
Spring,Apr,Monday,weekday,21,9 PM,member,1279,10.37,1.32
Winter,Feb,Tuesday,weekday,6,6 AM,member,1278,11.67,1.32
Summer,Jun,Monday,weekday,11,11 AM,casual,1278,26.64,1.51
Spring,Mar,Sunday,weekend,12,12 PM,casual,1277,24.0,1.47
Spring,May,Monday,weekday,21,9 PM,member,1276,11.95,1.44
Winter,Feb,Monday,weekday,19,7 PM,member,1275,10.11,1.15
Winter,Dec,Saturday,weekend,9,9 AM,member,1274,10.53,1.17
Fall,Nov,Wednesday,weekday,19,7 PM,member,1273,10.21,1.16
Spring,May,Wednesday,weekday,21,9 PM,casual,1272,17.84,1.45
Fall,Oct,Monday,weekday,21,9 PM,member,1271,10.8,1.34
Winter,Jan,Friday,weekday,17,5 PM,member,1271,13.44,1.1
Summer,Jul,Tuesday,weekday,10,10 AM,casual,1269,30.52,1.54
Spring,Apr,Wednesday,weekday,17,5 PM,casual,1269,17.5,1.41
Spring,May,Thursday,weekday,11,11 AM,casual,1268,23.55,1.52
Summer,Jun,Wednesday,weekday,8,8 AM,casual,1268,13.15,1.27
Fall,Oct,Wednesday,weekday,22,10 PM,member,1267,11.7,1.45
Summer,Jun,Friday,weekday,23,11 PM,member,1261,13.43,1.57
Winter,Feb,Monday,weekday,12,12 PM,member,1260,10.63,1.09
